Product URL,name,brand name,price
https://www.ajio.com/nyrika-women-floral-print-straight-kurta-set/p/700167341_navy,Women Floral Print Straight Kurta Set,Nyrika,749
https://www.ajio.com/v-s-creation-women-printed-anarkali-kurta-set/p/467348642_white,Women Printed Anarkali Kurta Set,V S CREATION,1199
https://www.ajio.com/columbia-women-typographic-print-regular-fit-round-neck-top/p/466948109_green,Women Typographic Print Regular Fit Round-Neck Top,Columbia,1234
https://www.ajio.com/kotty-heavily-washed-straight-fit-jeans/p/466591062_blue,Heavily Washed Straight Fit Jeans,KOTTY,560
https://www.ajio.com/amira-s-indian-ethnic-wear-women-floral-print-straight-kurta/p/467153102_pink,Women Floral Print Straight Kurta,Amira's Indian Ethnic Wear,667
https://www.ajio.com/mimi-design-women-embroidered-straight-kurta-set/p/700124994_orange,Women Embroidered Straight Kurta Set,MIMI DESIGN,1331
https://www.ajio.com/silverfly-women-relaxed-fit-pants-with-elasticated-waist/p/467019348_wine,Women Relaxed Fit Pants with Elasticated Waist,Silverfly,360
https://www.ajio.com/leriya-fashion-women-printed-shirt-dress/p/467312071_orange,Women Printed Shirt Dress,LERIYA FASHION,690
https://www.ajio.com/pink-fort-knee-length-flared-kurta-/p/464117924_white,Knee-Length Flared Kurta ,PINK FORT,1882
https://www.ajio.com/popnetic-women-relaxed-fit-flat-front-cargo-pants/p/467084915_taupe,Women Relaxed Fit Flat-Front Cargo Pants,Popnetic,700
https://www.ajio.com/gulmohar-jaipur-women-floral-print-v-neck-fit--flare-dress/p/467263002_pink,Women Floral Print V-Neck Fit & Flare Dress,GULMOHAR JAIPUR,722
https://www.ajio.com/fig-women-regular-fit-flat-front-trousers/p/443050530_stone,Women Regular Fit Flat-Front Trousers,Fig,999
https://www.ajio.com/lymi-label-women-embroidered-shrug-with-choli--skirt-co-ord-set/p/467256107_purple,Women Embroidered Shrug with Choli & Skirt Co-Ord Set,LYMI LABEL,1872
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_magntafusha,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/limdo-women-floral-print-flared-kurta-set-with-dupatta/p/466874408_olive,Women Floral Print Flared Kurta Set with Dupatta,Limdo,800
https://www.ajio.com/linoges-women-high-rise-wide-jeans/p/467311693_blue,Women High Rise Wide Jeans,Linoges,857
https://www.ajio.com/kiana-house-of-fashion-women-floral-print-straight-kurta-suit-set/p/467056459_blue,Women Floral Print Straight Kurta Suit Set,Kiana House Of Fashion,758
https://www.ajio.com/gulmohar-jaipur-women-floral-print-fit--flare-dress-with-dupatta/p/467282230_green,Women Floral Print Fit & Flare Dress with Dupatta,GULMOHAR JAIPUR,810
https://www.ajio.com/nishabd-women-floral-print-flared-kurta-set/p/466721791_blue,Women Floral Print Flared Kurta Set,NISHABD,1209
https://www.ajio.com/pink-fort-women-printed-relaxed-fit-top/p/467052940_purple,Women Printed Relaxed Fit Top,PINK FORT,1277
https://www.ajio.com/teamspirit-women-striped-boxy-fit-top/p/443048606_blackcharcoal,Women Striped Boxy Fit Top,Teamspirit,499
https://www.ajio.com/gopalvilla-tummy-shaper-with-elasticated-waist/p/466636264_beige,Tummy Shaper with Elasticated Waist,Gopalvilla,275
https://www.ajio.com/black-scissor-paisley-print-fit--flare-dress/p/466485728_black,Paisley Print Fit & Flare Dress,BLACK SCISSOR,850
https://www.ajio.com/bn--being-naughty-spread-collar-shirt-with-full-sleeves/p/467058610_red,Spread Collar Shirt with Full Sleeves,BN - BEING NAUGHTY,575
https://www.ajio.com/paralians-women-colourblock-wide-leg-flat-front-trousers/p/466857660_black,Women Colourblock Wide Leg Flat-Front Trousers,Paralians,370
https://www.ajio.com/columbia-women-silver-falls-full-zip-jacket/p/466325529_blue,Women Silver Falls Full-Zip Jacket,Columbia,8999
https://www.ajio.com/piyuti-women-straight-kurta-with-pants--floral-print-dupatta/p/467168881_pink,Women Straight Kurta with Pants & Floral Print Dupatta,Piyuti,1071
https://www.ajio.com/winered-women-embroidered-straight-kurta-set/p/466805931_beige,Women Embroidered Straight Kurta Set,WINERED,1400
https://www.ajio.com/teamspirit-women-straight-track-pants-with-side-piping/p/441113091_jetblack,Women Straight Track Pants with Side Piping,Teamspirit,399
https://www.ajio.com/sheetal-associates-women-printed-fit--flare-dress-/p/700052012_brown,Women Printed Fit & Flare Dress ,SHEETAL ASSOCIATES,432
https://www.ajio.com/vredevogel-women-embroidered-straight-kurta-set/p/467069647_green,Women Embroidered Straight Kurta Set,VREDEVOGEL,1000
https://www.ajio.com/pink-fort-women-striped-v-neck-gown-dress/p/467053425_orange,Women Striped V-Neck Gown Dress,PINK FORT,2012
https://www.ajio.com/teamspirit-camisole-with-adjustable-shoulder-straps/p/443003907_jetblack,Camisole with Adjustable Shoulder Straps,Teamspirit,212
https://www.ajio.com/silverfly-women-relaxed-fit-pants-with-elasticated-waist/p/467019348_white,Women Relaxed Fit Pants with Elasticated Waist,Silverfly,360
https://www.ajio.com/zivame-solid-stick-on-bra/p/700149175_nude,Solid Stick-On Bra,Zivame,125
https://www.ajio.com/ichaa-women-floral-print-top--pyjamas-set/p/467052088_purple,Women Floral Print Top & Pyjamas Set,ICHAA,557
https://www.ajio.com/ichaa-women-floral-print-top--pyjamas-set/p/700157359_blue,Women Floral Print Top & Pyjamas Set,ICHAA,529
https://www.ajio.com/columbia-women-printed-regular-fit-top/p/466981051_blue,Women Printed Regular Fit Top,Columbia,2399
https://www.ajio.com/zastraa-slim-fit-trousers-with-slip-pockets/p/466447200_beige,Slim Fit Trousers with Slip Pockets,Zastraa,832
https://www.ajio.com/anandita-women-floral-print-regular-fit-top-/p/700038442_green,Women Floral Print Regular Fit Top ,ANANDITA,525
https://www.ajio.com/popwings-women-printed-a-line-dress-with-tie-up/p/467345648_white,Women Printed A-line Dress with Tie-Up,POPWINGS,400
https://www.ajio.com/stava-creation-women-indian-flag-saree-with-unstitched-blouse-piece/p/466947472_white,Women Indian Flag Saree with Unstitched Blouse Piece,Stava Creation,460
https://www.ajio.com/wedani-women-floral-print-flared-kurta-suit-set/p/466888235_pink,Women Floral Print Flared Kurta Suit Set,Wedani,850
https://www.ajio.com/fable-street-pencil-skirt-with-elasticated-waist/p/461942240_black,Pencil Skirt with Elasticated Waist,Fable Street,1456
https://www.ajio.com/zivame-women-non-wired-t-shirt-bra/p/467298710_pink,Women Non-Wired T-Shirt Bra,Zivame,180
https://www.ajio.com/wedani-women-striped-anarkali-kurta-suit-set/p/466986619_multi,Women Striped Anarkali Kurta Suit Set,Wedani,720
https://www.ajio.com/laabha-women-typographic-print-regular-fit-t-shirt-with-track-pants/p/467256832_black,Women Typographic Print Regular Fit T-Shirt with Track Pants,LAABHA,840
https://www.ajio.com/nifty-women-washed-flared-jeans/p/466752263_blue,Women Washed Flared Jeans,NIFTY,900
https://www.ajio.com/glam-roots-floral-print-straight-kurta-set-with-dupatta/p/464238222_grey,Floral Print Straight Kurta Set with Dupatta,GLAM ROOTS,875
https://www.ajio.com/deckedup-women-floral-print-fit--flare-dress/p/466773906_brown,Women Floral Print Fit & Flare Dress,DECKEDUP,690
https://www.ajio.com/leriya-fashion-women-printed-a-line-dress/p/467312071_green,Women Printed A-Line Dress,LERIYA FASHION,690
https://www.ajio.com/hellcat-women-graphic-print-oversized-crew-neck-t-shirt/p/467267930_beige,Women Graphic Print Oversized Crew-Neck T-Shirt,Hellcat,399
https://www.ajio.com/popwings-women-printed-relaxed-fit-shrug/p/466865651_black,Women Printed Relaxed Fit Shrug,POPWINGS,400
https://www.ajio.com/femvy-women-chevron-fit--flare-dress/p/467215601_blue,Women Chevron Fit & Flare Dress,FEMVY,499
https://www.ajio.com/pink-fort-striped-straight-kurta-set/p/466336214_yellow,Striped Straight Kurta Set,PINK FORT,3189
